lead_id,user_id,date_created,status,deal_stage,revenue,utm_source,utm_medium,utm_campaign
L-2331,U-2331,2025-03-22,open,contacted,0.0,facebook,cpc,assurance_santé
L-2332,U-2332,2025-04-14,open,won,0.0,google,cpc,offre_hiver
L-2333,U-2333,2025-04-13,converted,contacted,2779.8469999999998,facebook,cpc,auto_responsable
L-2334,U-2334,2025-04-01,lost,lost,0.0,google,cpc,rentrée_assurance
L-2335,U-2335,2025-03-30,converted,won,1650.5439999999999,google,cpc,leads_auto
L-2336,U-2336,2025-04-05,converted,won,3153.3459999999995,google,cpc,rentrée_assurance
L-2337,U-2337,2025-04-08,open,proposal,0.0,google,cpc,leads_auto
L-2338,U-2338,2025-04-09,converted,proposal,1861.9649999999997,google,cpc,promo_printemps
L-2339,U-2339,2025-03-23,converted,proposal,569.9889999999999,google,cpc,promo_printemps
L-2340,U-2340,2025-04-07,lost,proposal,0.0,google,cpc,rentrée_assurance
L-2341,U-2341,2025-03-18,open,contacted,0.0,facebook,cpc,protection_habitation
L-2342,U-2342,2025-03-26,converted,lost,1074.024,google,cpc,rentrée_assurance
L-2343,U-2343,2025-04-14,open,lost,0.0,facebook,cpc,auto_responsable
L-2344,U-2344,2025-03-18,converted,lost,1467.5919999999999,facebook,cpc,protection_habitation
L-2345,U-2345,2025-03-20,converted,lost,3404.772,google,cpc,pack_famille
L-2346,U-2346,2025-04-05,open,won,0.0,google,cpc,promo_printemps
L-2347,U-2347,2025-04-11,open,lost,0.0,facebook,cpc,protection_habitation
L-2348,U-2348,2025-03-23,lost,contacted,0.0,facebook,cpc,assurance_santé
L-2349,U-2349,2025-03-23,lost,won,0.0,email,email,assurance_sante
L-2350,U-2350,2025-03-23,lost,contacted,0.0,google,cpc,leads_auto
L-2351,U-2351,2025-03-25,open,lost,0.0,facebook,cpc,leads_immobilier
L-2352,U-2352,2025-04-05,lost,contacted,0.0,facebook,cpc,auto_responsable
L-2353,U-2353,2025-03-26,lost,proposal,0.0,facebook,cpc,protection_habitation
L-2354,U-2354,2025-04-16,lost,lost,0.0,google,cpc,promo_printemps
L-2355,U-2355,2025-04-07,lost,won,0.0,facebook,cpc,assurance_santé
L-2356,U-2356,2025-03-26,converted,contacted,474.36199999999997,facebook,cpc,protection_habitation
L-2357,U-2357,2025-03-27,converted,won,3032.022,google,cpc,offre_hiver
L-2358,U-2358,2025-03-27,lost,proposal,0.0,facebook,cpc,leads_immobilier
L-2359,U-2359,2025-03-20,converted,won,1525.6779999999999,google,cpc,rentrée_assurance
L-2360,U-2360,2025-03-26,converted,proposal,1134.672,google,cpc,leads_auto
L-2361,U-2361,2025-03-23,open,won,0.0,google,cpc,promo_printemps
L-2362,U-2362,2025-03-22,converted,lost,2615.1369999999997,google,cpc,rentrée_assurance
L-2363,U-2363,2025-04-14,open,proposal,0.0,google,cpc,rentrée_assurance
L-2364,U-2364,2025-04-15,converted,lost,1450.5539999999999,email,email,assurance_sante
L-2365,U-2365,2025-03-26,open,contacted,0.0,email,email,assurance_sante
L-2366,U-2366,2025-03-28,lost,contacted,0.0,facebook,cpc,protection_habitation
L-2367,U-2367,2025-03-23,open,contacted,0.0,facebook,cpc,assurance_santé
L-2368,U-2368,2025-04-09,converted,lost,1345.043,google,cpc,pack_famille
L-2369,U-2369,2025-04-08,converted,proposal,3442.5719999999997,google,cpc,promo_printemps
L-2370,U-2370,2025-03-24,converted,lost,1951.502,facebook,cpc,pack_jeunes
L-2371,U-2371,2025-03-20,converted,won,512.708,google,cpc,promo_printemps
L-2372,U-2372,2025-03-19,lost,proposal,0.0,facebook,cpc,leads_immobilier
L-2373,U-2373,2025-04-10,converted,proposal,3317.9299999999994,facebook,cpc,leads_immobilier
L-2374,U-2374,2025-03-18,open,proposal,0.0,facebook,cpc,pack_jeunes
L-2375,U-2375,2025-04-05,converted,won,3273.445,email,email,assurance_sante
L-2376,U-2376,2025-04-14,converted,proposal,2189.278,google,cpc,pack_famille
L-2377,U-2377,2025-03-31,converted,proposal,2836.127,facebook,cpc,pack_jeunes
L-2378,U-2378,2025-03-26,converted,contacted,1354.682,facebook,cpc,protection_habitation
L-2379,U-2379,2025-03-26,open,won,0.0,google,cpc,offre_hiver
L-2380,U-2380,2025-03-22,lost,proposal,0.0,facebook,cpc,auto_responsable
L-2381,U-2381,2025-04-09,converted,lost,3457.4609999999993,google,cpc,rentrée_assurance
L-2382,U-2382,2025-03-30,converted,won,178.79399999999998,google,cpc,promo_printemps
L-2383,U-2383,2025-04-11,lost,proposal,0.0,email,email,assurance_sante
L-2384,U-2384,2025-04-10,open,won,0.0,facebook,cpc,protection_habitation
L-2385,U-2385,2025-03-19,open,lost,0.0,google,cpc,offre_hiver
L-2386,U-2386,2025-04-02,converted,lost,840.357,google,cpc,promo_printemps
L-2387,U-2387,2025-03-21,converted,contacted,2760.485,facebook,cpc,protection_habitation
L-2388,U-2388,2025-03-21,converted,won,2399.747,google,cpc,leads_auto
L-2389,U-2389,2025-04-10,open,proposal,0.0,facebook,cpc,pack_jeunes
L-2390,U-2390,2025-03-23,converted,won,3428.2709999999997,email,email,assurance_sante
L-2391,U-2391,2025-04-15,lost,won,0.0,google,cpc,pack_famille
L-2392,U-2392,2025-04-16,open,contacted,0.0,google,cpc,rentrée_assurance
L-2393,U-2393,2025-03-29,open,contacted,0.0,google,cpc,pack_famille
L-2394,U-2394,2025-04-07,lost,proposal,0.0,google,cpc,pack_famille
L-2395,U-2395,2025-03-27,lost,won,0.0,google,cpc,pack_famille
L-2396,U-2396,2025-03-28,converted,won,678.1529999999999,facebook,cpc,assurance_santé
L-2397,U-2397,2025-03-29,lost,won,0.0,facebook,cpc,assurance_santé
L-2398,U-2398,2025-03-20,converted,proposal,2832.536,facebook,cpc,pack_jeunes
L-2399,U-2399,2025-03-28,converted,won,2414.1809999999996,email,email,assurance_sante
